id,user_id,role,feature,benefit,application_domain,application_domain_other,tags,created_at,show_other,duplicate_of
40,5,"home occupant","an outdoor safety light to turn on at night when it senses something other than a family member or pet outside","I can feel safe.",Safety,,"outdoor, light, safety","2015-12-25 02:45:23",1,0
41,5,"home occupant","my smart home to notify me when someone other than a family member or trusted other is near my home","my family can be safe",Safety,,"motion sensor, camera, outdoor, warning, stranger","2015-12-25 02:46:11",1,0
43,13,"home owner","my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof)","my home is comfortable and energy-efficient when the weather is cold outside.",Energy,,,"2015-12-25 02:47:16",1,0
44,17,"home occupant","hallway motion detectors","safety is increased",Safety,,"motion detector, safe, hallways","2015-12-25 02:47:23",1,0
45,5,"home occupant","my smart home to sync all Christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time","it's more convenient for me",Other,Convenience,"lights, turn on, turn off, indoor, outdoor, Christmas, synchronize","2015-12-25 02:47:26",1,0
47,5,"home occupant","my smart home to notify me when a box has been delivered at my home, preferably with the packaging information from the label","I can get easy status updates on package delivery",Other,Convenience,"package, delivery, label, scan, update","2015-12-25 02:48:27",1,0
48,17,"home occupant","automatic fragrance sprinkler","as soon as it detects bad odour, it gets activated",Entertainment,,"fragrance, automated","2015-12-25 02:48:38",1,0
50,13,"home owner","my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc.)","I will be comfortable during hot days.",Energy,,,"2015-12-25 02:48:54",1,0
52,9,"home owner","a Carbon Monoxide detector ","my family is always kept safe from dangerous gasses ",Safety,,"home owner, carbon monoxide, safety","2015-12-25 02:49:49",1,0
54,17,parent,"automated sharp furniture sensors","if my child nears such places, alarm goes off",Safety,,"child, safety ","2015-12-25 02:50:05",1,0
55,13,"home owner","my smart home to monitor anyone near my home's doors, windows, etc. and notify me if there is someone there who does not live in the home","I will be informed quickly if a potential intruder is at my home.",Safety,,,"2015-12-25 02:50:53",1,0
58,17,"pet owner","automated food bowl","it automatically replenishes itself at lunch time of pet",Health,,"pet, food,bowl","2015-12-25 02:52:07",1,0
59,9,cook,"Smart appliances that give me relevant information on the food i'm cooking","Food always gets cooked as much as it's needed",Health,,"Food, Health, Cooking","2015-12-25 02:52:26",1,0
60,13,"home occupant","my smart home to greet and take pictures of anyone who enters my home who is not a registered occupant","a person wishing to do harm at home would think twice about doing so.",Safety,,,"2015-12-25 02:52:35",1,0
61,26,"pet owner","to be notified via smartwatch application by my smarthome when my pet's water container is low","so that my pet will always be hydrated and better taken care of. ",Health,,,"2015-12-25 02:52:43",1,0
62,17,"home occupant","temprature sensors","temprature of house remains constant",Health,,"temprature, sensors","2015-12-25 02:53:54",1,0
63,13,"home occupant","my smart home to inform me of any weather alerts for my area","I can be warned of potential weather issues such as snow, high winds, etc.",Safety,,,"2015-12-25 02:53:56",1,0
64,9,"home resident","my smart home to have video camera's outside my home","I always know who is at my door before checking",Safety,,"video camera, safety","2015-12-25 02:54:02",1,0
66,9,consumer,"my smart home to provide news and updates on my hobbies","I can easily learn about new products I may be interested in",Entertainment,,"news, updates, products","2015-12-25 02:54:51",1,0
67,26,"plant owner","to be notified by my smarthome when my plant's soil becomes too dry ","so that I can prevent my plant from dying and therefore saving money by not having to keep purchasing new plants.",Health,,,"2015-12-25 02:54:56",1,0
68,9,"person with back pain","my bed to come with smart features that allow me to control comfort","I get the best night's sleep I can have",Health,,"back pain, health, bed","2015-12-25 02:55:43",1,0
69,13,"person who wants to stay healthy","my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed","so that I can be proactive and consider visiting a doctor or dentist to have the issue reviewd.",Health,,,"2015-12-25 02:55:56",1,0
71,17,"home occupant","automated music system ","it automatically detects my mood and plays background music according to it.",Entertainment,,"music,mood,detector","2015-12-25 02:56:46",1,0
72,26,"home owner","to be notified by my smarthome when my energy consumption (electricity, gas) is higher than usual","I can adjust accordingly and save money on energy bills.",Energy,,,"2015-12-25 02:57:39",1,0
73,13,"person who wants to stay healthy","my smart home to make daily recommendations of activities or foods that are good for me, i.e. ""the weather is perfect for a nice walk today""","I can be reminded of my health goals, and good ways to achieve them.",Health,,,"2015-12-25 02:57:41",1,0
75,26,"home owner","to be alerted when a window is smashed or forced opened from outside the house","I can prepare for an intruder and call the police. ",Safety,,,"2015-12-25 02:59:37",1,0
76,17,parent,"socket adapters","accidental shocks are avoided",Safety,,"child,safety","2015-12-25 03:00:48",1,0
77,22,"home owner","to control my stovetops with my smartphone or tablet ","if i am in another room and need to lower the temperature I am able to do that",Safety,,"stovetop app","2015-12-25 03:00:54",1,0
78,26,"music appreciator","the ability to listen to my music in every room in the house simultaneously","parties will be funner and my party guests will be better entertained.",Entertainment,,,"2015-12-25 03:01:13",1,0
80,22,"home owner","to be able to control the oven with an app on my smartphone or tablet","I may preheat the oven from another room or lower the temperature if needed without having to go to the actual appliance",Safety,,"oven app/tablet smartphone","2015-12-25 03:01:38",1,0
82,13,"person who needs sleep","my smart home to make my bedroom the optimal temperature and lighting both when I go to sleep, and when I awaken","I will have the optimal conditions for a good night's sleep.",Health,,,"2015-12-25 03:01:48",1,0
83,17,"home occupant","outdoor motion sensors","Trespassers can be identified",Safety,,"motion detectors,safety","2015-12-25 03:02:30",1,0
84,22,"home owner","to be able to open the garage door with my smartphone/tablet","I don't have to go down to the garage to close it if I forget ",Safety,,"garage door","2015-12-25 03:02:59",1,0
85,14,student,"my smartphone to silence notifications (sounds, doorbells, TVs, etc.) unless it is an emergency","I can study",Health,,student,"2015-12-25 03:03:27",1,0
86,17,"home occupant","air purity controller","it detects pollution and sensors get active ",Health,,"healthy air, pollution check","2015-12-25 03:03:43",1,0
87,13,"movie watcher","my smart home to make recommendations when new movies come out that match my viewing habits","I will benefit from movie suggestions that I will probably enjoy.",Entertainment,,,"2015-12-25 03:03:43",1,0
88,28,"home occupant","the electricity switches off when no one is inside the room","there will be a big saving on electricity bills",Energy,,"energy, bill, electricity","2015-12-25 03:04:05",1,0
89,14,student,"my smartphone to create an environment (lighting, sound, temperature) ","I can study",Health,,student,"2015-12-25 03:04:14",1,0
90,22,"home occupant","a smart thermostat","it can manage energy efficiently and predict what type of temperatures we prefer at different times of the year",Energy,,thermostat,"2015-12-25 03:04:53",1,0
91,14,"pet owner","my smart home to clean the floors regularly","the house is clean",Health,,pets,"2015-12-25 03:05:03",1,0
92,28,"music lover","the radio system to adjust volume based on the distance of the people","avoids the use of remote control and saves battery",Entertainment,,"music, movies","2015-12-25 03:05:14",1,0
93,22,"home occupant","a smart coffee machine","my coffee will be ready in the morning when i ask it to be without having to deal with making it myself",Entertainment,,"coffee machine","2015-12-25 03:05:53",1,0
94,14,"pet owner","my smart home to feed and water the pets on a schedule","they are taken care of routinely",Health,,pets,"2015-12-25 03:05:58",1,0
95,22,"home occupant","a robot to clean windows","I dont have to risk hurting myself to wash windows in dangerous places ",Safety,,windows,"2015-12-25 03:06:53",1,0
96,28,"home occupant","the central a/c system to switch between cooling and heating based on temperature","there will be no need to manually adjust the system",Energy,,"a/c, heater, cooling","2015-12-25 03:07:05",1,0
99,22,"home occupant","a smart shower","I can save energy while using it as efficiently as possible",Energy,,"smart shower","2015-12-25 03:07:34",1,0
100,28,parent,"the door look to have an automated alarm when someone leaves or enters the room","i can monitor my young child movements at night",Safety,,"door, lock, alarm","2015-12-25 03:08:25",1,0
103,22,"home occupant","smart carbon monoxide detectors","I can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while I'm away from my home to make sure my family is ok",Safety,health,"carbon monoxide detector","2015-12-25 03:09:00",1,0
106,25,parent,"i want my smart home to buzz when my child is close to an object that can potentially fall","i want my smart home to make dog barking sound when a person ",Health,safety,"no one body cant allowed for my with out permission ","2015-12-25 03:09:28",1,0
108,28,"home occupant","the vacuum cleaner to run automated on scheduled timings","it would help in forgetting to manually vacuum",Safety,,"vacuum, clean","2015-12-25 03:10:20",1,0
110,22,"home occupant","a smart touchscreen tv implanted in the wall of each room","I can control each room uniquely and separately. If i want to play music in that room or watch a show I can etc",Entertainment,,"smart tv","2015-12-25 03:10:44",1,0
112,28,"tech lover","a wireless charger for my devices","it wirelessly charges the devices when it falls below the battery limit",Entertainment,,"tech, charging, wireless, battery","2015-12-25 03:11:33",1,0
114,22,"home occupant","an app to control the shades/blinds on my windows ","I can control them easily at home or while I'm out incase I forgot to close one",Entertainment,,"smart shades","2015-12-25 03:12:11",1,0
115,28,"home occupant","a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit","i benefit of not forgetting to stock the fruits and vegetables",Health,,"food, kitchen, fruits, vegetables","2015-12-25 03:12:50",1,0
121,24,"home occupant","Adjust temperature in room, based on my location (if near, turn on heater/cooler, if far from home turn of)","Cut energy cost ",Energy,,"temeprature, ","2015-12-25 03:13:49",1,0
122,34,"home occupant","a learning thermostat","my home will be energy efficient and comfortable",Energy,,"thermostat, heating, temperature","2015-12-25 03:14:43",1,0
123,26,"home owner","to be notified if I accidentally leave the stove or oven on","my family will be safer from fire and carbon monoxide poisioning. ",Safety,,,"2015-12-25 03:14:46",1,0
124,34,"home occupant","an automatic garage door opener","it's easier and safer to get in and out",Safety,,"garage, door","2015-12-25 03:15:32",1,0
125,25,"i am","i want any time my room is weather adjustment ","so  i am always relax my home",Entertainment,"energy ","i will need always fresh and comfortable","2015-12-25 03:15:39",1,0
126,28,"music lover","my room lighting to change lighting effect based on the time of day","i benefit on a pleasant mood everytime",Health,,"room, lighting, effect","2015-12-25 03:15:40",1,0
127,34,"home occupant","smart locks","my home is secure",Safety,,"door, locks","2015-12-25 03:16:11",1,0
128,28,"home occupant","a smart device that sends out photos of person who enter through the main gate","i would know who have come to home while we are away",Safety,,"gate, photo, robot","2015-12-25 03:16:59",1,0
129,27,"home occupant","My smart home to alert me via a specific sound and a text message via mobile phone that someone has approached my car positioned in my driveway.","vehicle-related thefts can be minimized either when we are home or are not.",Safety,Security,"Automobile Security, Auto Anti-Theft, Vehicle Protection.","2015-12-25 03:17:36",1,0
130,28,"home occupant","to unlock the door from a remote location that has an alert with video feed","the kids don't need to wait when they get to home",Safety,,"door, unlock, alarm","2015-12-25 03:18:08",1,0
131,34,"home occupant","smart window cleaners","I don't have to do that chore",Other,Covenience,"cleaning, windows","2015-12-25 03:18:26",1,0
132,28,"home occupant","a device that greets and welcomes guests at the doorstep","our guests would feel humbled by its gesture",Entertainment,,"greeting, guests","2015-12-25 03:18:59",1,0
134,34,"home occupant","outdoor motion detectors","I have an added measure of security of the property",Safety,,"home security, motion detectors","2015-12-25 03:19:35",1,0
136,24,"home occupant","Doors automaticaly lock / relock if I'm near it (NFC, IR bracelet, or something similar)","no need to use key",Safety,,"lock / re-lock automatically ","2015-12-25 03:20:38",1,0
137,34,"home occupant","smart breakfast appliances","it will save me time in the morning.",Health,,"smart appliances","2015-12-25 03:20:40",1,0
138,38,"home occupant","my smart home  to to turn on the tv when I get home","I can relax as soon as possible",Entertainment,,"television, entertainment","2015-12-25 03:21:17",1,0
139,34,"home occupant","window sensors","I'm aware if a window is open and letting cold/hot air in",Energy,,"windows, sensor","2015-12-25 03:21:29",1,0
141,26,"health conscious person","to be notified by my smarthome of the present air quality in my home.","my family will have fewer respiratory issues and better overall health. ",Health,,,"2015-12-25 03:22:10",1,0
142,34,"home occupant","integrated smart electronics","I only need one remote and devices are easy to operate",Entertainment,,"electronics, devices","2015-12-25 03:22:22",1,0
143,24,"home occupant","House vacuum clean itself when I'm not home (like integrated roomba vacuum cleaner)","no need to manualy clean",Health,,"clean, house, automatically ","2015-12-25 03:22:48",1,0
144,38,parent,"my smart home to play a warning sound when my child is close to the stove","he won't burn himself",Safety,,"fire, safety","2015-12-25 03:22:50",1,0
145,34,"home occupant","a robot cleaner","I will not need to wash the floor and sweep myself",Other,Convenience,"floor, cleaner","2015-12-25 03:23:27",1,0
146,38,parent,"my smart home to lower the thermostat at night","I can save expenses paid for air conditioning",Energy,,"Air conditioning, energy","2015-12-25 03:23:48",1,0
147,34,"home occupant","smart lights","they are scheduled to dim at night or turn off when no one is in the room",Energy,,lighting,"2015-12-25 03:24:11",1,0
148,25,children,"my child don't fear for dark nights ","my child get a peaceful dreams",Energy,,,"2015-12-25 03:24:14",1,0
149,38,parent,"my smart home to play a lullaby at bed time","I don't have to sing my children to sleep",Entertainment,,"lullaby, entertainment","2015-12-25 03:24:48",1,0
150,25,"home occupant","save my home energy ","the sensors save the home energy ",Energy,,,"2015-12-25 03:25:16",1,0
151,38,"home occupant","my smart TV to switch to the sports channel when the sports game begins","I don't miss the game",Energy,,"sports, TV, entertainment","2015-12-25 03:25:33",1,0
152,24,"home occupant","Home automatically heats precooked meal based on approximate of arrival (based on GPS location)","no need to manually cook / heat meal ",Other,Convenience,,"2015-12-25 03:25:49",1,0
153,30,occupant,"Room thermostats","It Can indicate the outside temperature and room temperature as well so that i can well prepared for it in advance",Safety,,"caution, safe,","2015-12-25 03:26:16",1,0
154,14,"person who is introverted","my smart house to screen all forms of communication including visitors","I can focus on what is important at the moment",Safety,,"screening, communication","2015-12-25 03:26:25",1,0
155,14,"person concerned with safety","my smart home to actively and proactively secure itself","my family and I feel safe, even if we forget to lock a window",Safety,,"safety, security","2015-12-25 03:27:15",1,0
156,38,"home occupant","my smart home to alert me when I am about to run out of medication","I will never run out of mediaction",Health,,"medication, health","2015-12-25 03:27:22",1,0
157,24,parent,"Lights in child bedroom can be controlled automatically, or can be programed","kids sleep earlier",Health,,,"2015-12-25 03:27:25",1,0
160,38,"home occupant","my smart home to turn on the sprinkers when there is a fire","the house won't burn down",Safety,,"sprinklers, safety","2015-12-25 03:28:22",1,0
161,26,"movie lover","a projector mounted on the wall that has wifi capabilities to connect to video streaming services (Netflix etc)","my family can be entertained without having to fumble with several different electronics. ",Entertainment,,,"2015-12-25 03:29:01",1,0
162,14,dancer,"my smart house to convert a room (move furniture, have mirrors, and have a place for media)","I can exercise and practice for more time rather than rearrange a room on a daily basis",Entertainment,,exercise,"2015-12-25 03:29:04",1,0
163,38,"home occupant","my smart home to play my favorite music at 7:45 AM","I can wake up listening to my favorite music",Entertainment,,"music, entertainment","2015-12-25 03:29:23",1,0
165,14,"person who wants green energy","my smart home to monitor energy use and excess","we can determine how to be more conscientious of what we use",Energy,,"energy, green","2015-12-25 03:29:51",1,0
166,38,"home occupant","my smart home to alert me when there is more than one person in the house","I would know if someone is breaking in",Safety,,"break in, safety","2015-12-25 03:29:59",1,0
167,26,"energy conscious consumer","the ability to turn off/on lights in different rooms with voice commands.","I can save energy without having to physically walk over to the room.",Energy,,,"2015-12-25 03:30:11",1,0
168,38,parent,"my smart home to alert me when my children are not home by their usual time","I will know if they have gone missing",Safety,,"children, safety","2015-12-25 03:30:40",1,0
169,14,"person who lives where hurricanes hit","my smart home to activate safety features such as window coverings","the house is safer during inclement weather",Safety,,"storms, safety","2015-12-25 03:30:53",1,0
170,24,"home occupant","Bed automatically makes itself for sleeping and after sleeping","no need to occupant manually make bed",Other,Convenience,"bed, making, night, morning","2015-12-25 03:31:23",1,0
171,26,"responsible pet owner","to be notified when my dog enters and exits my home ","I can be aware of my dog's whereabouts at all times and therefore be a more responsible pet owner.",Safety,,,"2015-12-25 03:31:31",1,0
173,14,"person who lives with family members","my smart home to remember entertainment preferences, such as music or videos","one does not need to bring a laptop into each room",Entertainment,,"music, videos, media, convenience","2015-12-25 03:32:21",1,0
174,24,"home occupant","home automatically check air quality (for elegant, dust, soot etc) and try to improve quality level by automatic intake of fresh air","air quality is on good level",Health,,"air, quality, ","2015-12-25 03:33:49",1,0
175,24,parent,"Get early notification when kids are back from school (based on GPS location)","know precisely when they arrive",Safety,,,"2015-12-25 03:34:54",1,0
176,27,"home occupant","My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway","home and/or vehicle-related thefts can be minimized either when we are home or are not",Safety,Security,"Home Security, Home Safety, Intruder Detection","2015-12-25 03:35:08",1,0
177,24,"home occupant","garage door open automatically when I arive with my car","no need to manually open garage dors",Safety,,,"2015-12-25 03:35:51",1,0
178,39,"decision maker of home","my smart home to automatically switch off/on electric gadgets like bulbs, fans, ACs when a person move out or move in the particular affected region of particular gadget.","so that both energy and money can be saved",Energy,,"Controller, Electric gadgets, Automatic","2015-12-25 03:35:57",1,0
180,24,"home occupant","Fence doors automatically unlock and open when i arrive by foot or by car","no need to manually open / close or lock / unclok",Safety,,,"2015-12-25 03:37:02",1,0
181,39,"decision maker of home","my smart home to auto start video recording and sending the same to smarthome when a theft approaches inside home","so that so that I can quickly complain the same with sufficient proof to appropriate authorities",Safety,,"video recording, security","2015-12-25 03:37:10",1,0
183,37,"home occupant","turn electronic devices on or off from anywhere I have an Internet connection.","I can save energy",Energy,,"energy,smart switch","2015-12-25 03:38:34",1,0
184,39,"health couscous person","my smart home to sense and inform small or tiny movable living things like mosquitoes, termites.","so that so that we can take appropriate steps to discard them in order to free from material or health loss",Health,,"sense, living things","2015-12-25 03:39:21",1,0
185,40,"home owner","to protect my objects ","my things wont get stolen ",Safety,,,"2015-12-25 03:39:40",1,0
186,27,"home occupant","my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door","parcel package-related thefts can be minimized either when we are home or are not",Safety,Security,"Parcel Package Protection, Home Delivery Detection","2015-12-25 03:39:51",1,0
187,40,"home owner","my smart home to alarm me if danger","I can be safe",Safety,,,"2015-12-25 03:40:58",1,0
188,39,"home owner","my smart home to automatically open doors to those whose faces are already registered in system","so that so that I don't need to open doors manually.",Safety,Safety,"face matching, doors","2015-12-25 03:40:58",1,0
190,40,parent,"my smart house to contact the police","I can be safe if my home is broken into ",Safety,,,"2015-12-25 03:41:53",1,0
191,41,"home occupant","I want my smart-home to take picture of persons coming near to outside doors between 8 pm to 6 am.And a mobile alert same time.","So that i can recognize unknown persons .",Safety,,,"2015-12-25 03:42:02",1,0
192,40,parent,"my smart home to film the house ","I can catch intruders on camera in case of court. ",Safety,,,"2015-12-25 03:42:59",1,0
193,37,"home owner","switch on any lights automatically when dark falls and switch off in the morning automatically.","I can save electricity",Energy,,"energy saving, automated light, light sensor","2015-12-25 03:43:03",1,0
194,40,"home owner","my smart house to have solar panels","I can save money on electricity ",Energy,,,"2015-12-25 03:43:28",1,0
195,40,"home owner","my smart home to shut off the air when the room is at the right temperature ","I can save money on bills ",Energy,,,"2015-12-25 03:44:39",1,0
196,40,"home owner","my smart home to tell me if food is spoiled in the fridge","i dont eat old food",Safety,,,"2015-12-25 03:45:52",1,0
197,40,"home owner","my smart home to tell me the bacteria percentage in my home","I know when to disinfect ",Health,,,"2015-12-25 03:46:35",1,0
198,30,occupant,"Revolv (central automation device )","When we are using  too many home automation devices, opening the right app for the right device can become difficult and counterproductive. This time Revolv become the central automation device for my home.  Just put this device in centre of  home and  connect to  Wi-Fi then let it scan for  other home automation devices. Even if it fails to locate them, we can manually add them through the Revolv app too.",Safety,,"precaution, safe ,welfare, well-being, protection ,security","2015-12-25 03:46:44",1,0
199,40,"home owner","my smart home to lock all doors at once ","I dont have to worry about locking all the doors. ",Safety,,,"2015-12-25 03:47:27",1,0
200,39,wife,"my smart home to automatically open windows with the help of remote control","smoke can be emit quickly",Other,Convenience,"windows, kitchen","2015-12-25 03:47:50",1,0
201,27,"home occupant","my smart home to capture a picture, open a communication channel, and alert me via a specific sound and a text message via mobile phone when a person rings my doorbell or knocks on my front or rear door","I may know and may communicate with visitors to my home without having to approach or to open the doors in question",Safety,Security,"Visitor Detection, Remote Visitor Communicaton","2015-12-25 03:49:05",1,0
202,37,"home occupant","my smart home to take photographs of person and message photo to my mobile phone when he approaches the main door.","thefts can be reduced",Safety,,"smart camera, theft control","2015-12-25 03:49:13",1,0
204,39,student,"my smart home to have a system which can remind me to do a pre manage lists of a day or night","I can't miss any less important task",Other,Convenience,"home work, reminder ","2015-12-25 03:52:38",1,0
205,41,parent,"my smarthome to switch off All the bulbs after 10 pm automaticaly","we can save wastage of electricity",Energy,,"Electric bulbs, ","2015-12-25 03:53:49",1,0
206,42,"home occupant","Lights in the front side of my home is on when I am out of station.","thieves will think that people is there in the house.",Safety,,security,"2015-12-25 03:54:48",1,0
207,39,"home owner","my smart home to inform me quickly when my solar water heater does heat water","I don't need to go everytime in bathroom to check the hotness of water",Other,Convenience,"solar, time saving","2015-12-25 03:55:03",1,0
208,42,"home occupant","to secure my house and my family when there is a gas leakage.","I am tension free.",Safety,,"Gas Leakage","2015-12-25 03:55:09",1,0
209,42,"home occupant","I want to get the Airconditioner off,when the room is empty","I can save energy",Energy,,"Energy saving","2015-12-25 03:55:31",1,0
210,41,parent,"to switch off TV, Radio and other Leisure gadgets after 10 pm ","no energy is wasted and consume the overuse of electricity",Entertainment,,"TV, Radio, Electronic gadgets","2015-12-25 03:55:55",1,0
211,42,"a parents","I want to block strangers from entering my house when the child is alone.","I am tension free.",Safety,,security,"2015-12-25 03:55:59",1,0
213,42,"home occupant","I want to secure my house during night.","I can sleep peacefully",Safety,,security,"2015-12-25 03:56:23",1,0
214,42,"home occupant","Keyless Digital Door Lock","I don't have to carry keys with me.",Safety,,security,"2015-12-25 03:57:17",1,0
215,42,"home occupant","control my shower''s temperature, spray, steam, audio, and lighting of the shower.","I can save energy",Energy,,"Energy saving","2015-12-25 03:57:54",1,0
216,42,"home occupant","Innovative controls in my kitchen","so that cooking is energy saving & easy ",Energy,,"Energy saving","2015-12-25 03:58:23",1,0
217,42,"home occupant","control the temperature in my room.","I can save energy",Energy,,"Energy saving","2015-12-25 03:59:23",1,0
218,39,"home owner","my smart home to automatically start radio in specific timings ","I can't miss any favorite radio songs ",Entertainment,,"radio, automatic","2015-12-25 03:59:36",1,0
219,27,"home occupant","my smart home to automatically open and close my garage door when I approach and leave my home in my car","vehicle-related weather protection can be maximized, and vehicle thefts can be minimized ",Safety,Security,"Automatic Garage Door Open/Closure, Automated Garage Access Control","2015-12-25 04:00:00",1,0
220,42,"home occupant","giving voice commands to equipments","i am relaxed",Entertainment,,relaxation,"2015-12-25 04:00:13",1,0
221,41,parent,"my smarthome clock to alert my child to eat food at regular and correct time","my child can look after his health properly",Health,,"Time, Food","2015-12-25 04:01:30",1,0
222,43,"single woman","alarms to go off when movement is triggered","i can feel safe in my home alone.",Safety,,"safe, alarm, female","2015-12-25 04:01:35",1,0
223,30,owner,"Net alarm system ('smarter' home security system)","As part of the system, window and door fixtures contain motion sensors which alert us when there is a trigger through an accompanying application. This system is easy to set up and connect to  smartphone, and also comes with a keychain hob which allows users to remotely alarm and disarm a system -- as well as a 'panic' button, which if pressed, alerts the connected smartphone to the call for help",Safety,,"precaution, safe ,welfare, well-being, protection ,security","2015-12-25 04:02:05",1,0
224,43,"single woman","motion lights","I can see any intruders at night as they approach.",Safety,,"woman, safe, motion sensor, lights","2015-12-25 04:02:11",1,0
225,43,mother,"my coffeemaker to start automatically","my coffee will be ready when I go to wake my son up early in the morning.",Other,Convenience,"coffee, parent, morning","2015-12-25 04:02:57",1,0
226,39,"home owner","my smart home to have fans whose speed vary with external environment ","both energy and money can be saved",Energy,,"energy saver, fans","2015-12-25 04:03:05",1,0
227,43,mother,"automatic alarms to go off when smoke detectors are triggered","I know my kids are safe.",Safety,,"alarm, smoke detector, parent","2015-12-25 04:03:37",1,0
228,41,parent,"my washing machine to automatically turn off when the washing is finished","No wastage of electricity and energy is happening",Energy,,"Washing Machine, Electricity","2015-12-25 04:03:55",1,0
229,43,mother,"carbon monoxide detectors with self-testing capacity","I know my alarms are on and functioning to keep my kids safe.",Safety,,"carbon monoxide, parent, alarm","2015-12-25 04:04:24",1,0
230,43,"bill payer","lights to automatically turn off when no motion is detected in a room","I will save on bills.",Energy,,"lights, money","2015-12-25 04:05:00",1,0
