id,presurvey_question_id,user_id,description,created_at
3720,3,26,"Some college but no degree","2015-12-25 02:48:38"
3721,4,26,,"2015-12-25 02:48:38"
3722,5,26,No,"2015-12-25 02:48:39"
3723,6,26,High,"2015-12-25 02:48:39"
3724,7,26,High,"2015-12-25 02:48:39"
3725,8,26,Yes,"2015-12-25 02:48:39"
3726,9,26,,"2015-12-25 02:48:39"
3727,1,27,Male,"2015-12-25 02:57:53"
3728,2,27,"35 to 45","2015-12-25 02:57:53"
3729,3,27,"Bachelor degree","2015-12-25 02:57:53"
3730,4,27,Economics/Business.,"2015-12-25 02:57:53"
3731,5,27,"Yes; for one to five years","2015-12-25 02:57:53"
3732,6,27,Medium,"2015-12-25 02:57:53"
3733,7,27,Medium,"2015-12-25 02:57:53"
3734,8,27,No,"2015-12-25 02:57:53"
3735,9,27,,"2015-12-25 02:57:53"
3736,1,28,Male,"2015-12-25 02:56:50"
3737,2,28,"25 to 34","2015-12-25 02:56:50"
3738,3,28,"Some college but no degree","2015-12-25 02:56:50"
3739,4,28,Business,"2015-12-25 02:56:50"
3740,5,28,"Yes; for less than a year","2015-12-25 02:56:50"
3741,6,28,High,"2015-12-25 02:56:50"
3742,7,28,"Very high","2015-12-25 02:56:50"
3743,8,28,Yes,"2015-12-25 02:56:50"
3744,9,28,,"2015-12-25 02:56:50"
3745,1,30,Female,"2015-12-25 03:03:59"
3746,2,30,"25 to 34","2015-12-25 03:03:59"
3747,3,30,"Graduate degree","2015-12-25 03:03:59"
3748,4,30,"Arts (Geography)","2015-12-25 03:03:59"
3749,5,30,"Yes; for one to five years","2015-12-25 03:03:59"
3750,6,30,"Very high","2015-12-25 03:03:59"
3751,7,30,"Very high","2015-12-25 03:03:59"
3752,8,30,Yes,"2015-12-25 03:03:59"
3753,9,30,,"2015-12-25 03:03:59"
3754,1,34,Male,"2015-12-25 03:06:09"
3755,2,34,"25 to 34","2015-12-25 03:06:09"
3756,3,34,"Graduate degree","2015-12-25 03:06:09"
3757,4,34,"Sociology & Urban and Community Studies","2015-12-25 03:06:09"
3758,5,34,No,"2015-12-25 03:06:09"
3759,6,34,High,"2015-12-25 03:06:10"
3760,7,34,"Very high","2015-12-25 03:06:10"
3761,8,34,No,"2015-12-25 03:06:10"
3762,9,34,,"2015-12-25 03:06:10"
3763,1,37,Male,"2015-12-25 03:21:04"
3764,2,37,"25 to 34","2015-12-25 03:21:04"
3765,3,37,"Graduate degree","2015-12-25 03:21:04"
3766,4,37,Finance,"2015-12-25 03:21:04"
3767,5,37,No,"2015-12-25 03:21:04"
3768,6,37,Medium,"2015-12-25 03:21:04"
3769,7,37,Medium,"2015-12-25 03:21:04"
3770,8,37,Yes,"2015-12-25 03:21:05"
3771,9,37,,"2015-12-25 03:21:05"
3772,1,38,Male,"2015-12-25 03:16:51"
3773,2,38,"25 to 34","2015-12-25 03:16:51"
3774,3,38,"Bachelor degree","2015-12-25 03:16:51"
3775,4,38,Economics,"2015-12-25 03:16:51"
3776,5,38,No,"2015-12-25 03:16:51"
3777,6,38,Low,"2015-12-25 03:16:51"
3778,7,38,Medium,"2015-12-25 03:16:51"
3779,8,38,"Not sure","2015-12-25 03:16:51"
3780,9,38,None,"2015-12-25 03:16:52"
3781,1,39,Male,"2015-12-25 03:32:09"
3782,2,39,"18 to 24","2015-12-25 03:32:09"
3783,3,39,"Bachelor degree","2015-12-25 03:32:09"
3784,4,39,"Electronics and Communication Engineering","2015-12-25 03:32:09"
3785,5,39,No,"2015-12-25 03:32:09"
3786,6,39,Medium,"2015-12-25 03:32:09"
3787,7,39,Medium,"2015-12-25 03:32:09"
3788,8,39,No,"2015-12-25 03:32:09"
3789,9,39,,"2015-12-25 03:32:09"
3790,1,40,Female,"2015-12-25 03:33:07"
3791,2,40,"18 to 24","2015-12-25 03:33:07"
3792,3,40,"Some college but no degree","2015-12-25 03:33:07"
3793,4,40,,"2015-12-25 03:33:07"
3794,5,40,No,"2015-12-25 03:33:07"
3795,6,40,High,"2015-12-25 03:33:07"
3796,7,40,Low,"2015-12-25 03:33:07"
3797,8,40,No,"2015-12-25 03:33:07"
3798,9,40,,"2015-12-25 03:33:07"
3799,1,41,Male,"2015-12-25 03:39:19"
3800,2,41,"25 to 34","2015-12-25 03:39:19"
3801,3,41,"Graduate degree","2015-12-25 03:39:19"
3802,4,41,"Computer science","2015-12-25 03:39:19"
3803,5,41,"Yes; for one to five years","2015-12-25 03:39:20"
3804,6,41,Medium,"2015-12-25 03:39:20"
3805,7,41,High,"2015-12-25 03:39:20"
3806,8,41,Yes,"2015-12-25 03:39:20"
3807,9,41,,"2015-12-25 03:39:20"
3808,1,42,Male,"2015-12-25 03:52:51"
3809,2,42,"35 to 45","2015-12-25 03:52:51"
3810,3,42,"Bachelor degree","2015-12-25 03:52:51"
3811,4,42,science,"2015-12-25 03:52:51"
3812,5,42,"Yes; for less than a year","2015-12-25 03:52:51"
3813,6,42,High,"2015-12-25 03:52:51"
3814,7,42,High,"2015-12-25 03:52:51"
3815,8,42,No,"2015-12-25 03:52:51"
3816,9,42,,"2015-12-25 03:52:51"
3817,1,43,Female,"2015-12-25 03:58:58"
3818,2,43,"25 to 34","2015-12-25 03:58:58"
3819,3,43,"Some college but no degree","2015-12-25 03:58:58"
3820,4,43,"LIBERAL ARTS AND SOCIAL SCIENCES, SCIENCE CONCENTRATION","2015-12-25 03:58:58"
3821,5,43,No,"2015-12-25 03:58:58"
3822,6,43,Medium,"2015-12-25 03:58:58"
3823,7,43,Medium,"2015-12-25 03:58:58"
3824,8,43,No,"2015-12-25 03:58:58"
3825,9,43,,"2015-12-25 03:58:58"
3826,1,46,Male,"2015-12-25 04:30:48"
3827,2,46,"25 to 34","2015-12-25 04:30:48"
3828,3,46,"Graduate degree","2015-12-25 04:30:48"
3829,4,46,"economics, finance","2015-12-25 04:30:48"
3830,5,46,"Yes; for less than a year","2015-12-25 04:30:48"
3831,6,46,High,"2015-12-25 04:30:48"
3832,7,46,"Very high","2015-12-25 04:30:48"
3833,8,46,Yes,"2015-12-25 04:30:48"
3834,9,46,,"2015-12-25 04:30:48"
3835,1,49,Male,"2015-12-25 05:06:59"
3836,2,49,"45 to 54","2015-12-25 05:06:59"
3837,3,49,"Some college but no degree","2015-12-25 05:06:59"
3838,4,49,"Computer Science","2015-12-25 05:06:59"
3839,5,49,"Yes; for more than five years","2015-12-25 05:06:59"
3840,6,49,"Very high","2015-12-25 05:06:59"
3841,7,49,Medium,"2015-12-25 05:06:59"
3842,8,49,No,"2015-12-25 05:06:59"
3843,9,49,,"2015-12-25 05:06:59"
3844,1,51,Male,"2015-12-25 05:23:34"
3845,2,51,"25 to 34","2015-12-25 05:23:34"
3846,3,51,"Bachelor degree","2015-12-25 05:23:34"
3847,4,51,"Information Technology","2015-12-25 05:23:34"
3848,5,51,"Yes; for one to five years","2015-12-25 05:23:34"
3849,6,51,Medium,"2015-12-25 05:23:34"
3850,7,51,Low,"2015-12-25 05:23:34"
3851,8,51,No,"2015-12-25 05:23:34"
3852,9,51,,"2015-12-25 05:23:34"
3853,1,53,Female,"2015-12-25 08:01:08"
3854,2,53,"25 to 34","2015-12-25 08:01:08"
3855,3,53,"High school degree or equivalent (e.g., GED)","2015-12-25 08:01:08"
3856,4,53,,"2015-12-25 08:01:08"
3857,5,53,No,"2015-12-25 08:01:08"
3858,6,53,Medium,"2015-12-25 08:01:08"
3859,7,53,High,"2015-12-25 08:01:08"
3860,8,53,Yes,"2015-12-25 08:01:08"
3861,9,53,"Remote controlled electronics mostly.","2015-12-25 08:01:08"
3862,1,54,Female,"2015-12-25 13:03:24"
3863,2,54,"18 to 24","2015-12-25 13:03:24"
3864,3,54,"High school degree or equivalent (e.g., GED)","2015-12-25 13:03:24"
3865,4,54,,"2015-12-25 13:03:24"
3866,5,54,No,"2015-12-25 13:03:24"
3867,6,54,Medium,"2015-12-25 13:03:24"
3868,7,54,Medium,"2015-12-25 13:03:24"
3869,8,54,Yes,"2015-12-25 13:03:24"
3870,9,54,,"2015-12-25 13:03:24"
3871,1,56,Female,"2015-12-25 13:03:19"
3872,2,56,"35 to 45","2015-12-25 13:03:19"
3873,3,56,"High school degree or equivalent (e.g., GED)","2015-12-25 13:03:19"
3874,4,56,,"2015-12-25 13:03:19"
3875,5,56,No,"2015-12-25 13:03:19"
3876,6,56,"Very low","2015-12-25 13:03:19"
3877,7,56,Low,"2015-12-25 13:03:19"
3878,8,56,"Not sure","2015-12-25 13:03:19"
3879,9,56,,"2015-12-25 13:03:19"
3880,1,59,Male,"2015-12-25 13:03:46"
3881,2,59,"45 to 54","2015-12-25 13:03:46"
3882,3,59,"Some college but no degree","2015-12-25 13:03:46"
3883,4,59,economics,"2015-12-25 13:03:46"
3884,5,59,No,"2015-12-25 13:03:46"
3885,6,59,Medium,"2015-12-25 13:03:46"
3886,7,59,Low,"2015-12-25 13:03:46"
3887,8,59,No,"2015-12-25 13:03:46"
3888,9,59,,"2015-12-25 13:03:46"
3889,1,60,Female,"2015-12-25 13:04:13"
3890,2,60,"25 to 34","2015-12-25 13:04:13"
3891,3,60,"High school degree or equivalent (e.g., GED)","2015-12-25 13:04:13"
3892,4,60,,"2015-12-25 13:04:13"
3893,5,60,No,"2015-12-25 13:04:13"
3894,6,60,Medium,"2015-12-25 13:04:13"
3895,7,60,High,"2015-12-25 13:04:13"
3896,8,60,No,"2015-12-25 13:04:13"
3897,9,60,,"2015-12-25 13:04:13"
3898,1,61,Female,"2015-12-25 13:04:31"
3899,2,61,"25 to 34","2015-12-25 13:04:31"
3900,3,61,"Graduate degree","2015-12-25 13:04:31"
3901,4,61,"Library and Information Science","2015-12-25 13:04:32"
3902,5,61,No,"2015-12-25 13:04:32"
3903,6,61,High,"2015-12-25 13:04:32"
3904,7,61,Low,"2015-12-25 13:04:32"
3905,8,61,No,"2015-12-25 13:04:32"
3906,9,61,,"2015-12-25 13:04:32"
3907,1,62,Male,"2015-12-25 13:05:32"
3908,2,62,"25 to 34","2015-12-25 13:05:32"
3909,3,62,"Bachelor degree","2015-12-25 13:05:32"
3910,4,62,Economics,"2015-12-25 13:05:32"
3911,5,62,No,"2015-12-25 13:05:32"
3912,6,62,Low,"2015-12-25 13:05:32"
3913,7,62,Low,"2015-12-25 13:05:32"
3914,8,62,No,"2015-12-25 13:05:32"
3915,9,62,,"2015-12-25 13:05:32"
3916,1,63,Male,"2015-12-25 13:05:23"
3917,2,63,"25 to 34","2015-12-25 13:05:23"
3918,3,63,"Bachelor degree","2015-12-25 13:05:23"
3919,4,63,Bsc,"2015-12-25 13:05:23"
3920,5,63,"Yes; for one to five years","2015-12-25 13:05:23"
3921,6,63,Medium,"2015-12-25 13:05:23"
3922,7,63,Medium,"2015-12-25 13:05:23"
3923,8,63,Yes,"2015-12-25 13:05:23"
3924,9,63,good,"2015-12-25 13:05:23"
3925,1,65,Male,"2015-12-25 13:11:56"
3926,2,65,"45 to 54","2015-12-25 13:11:56"
3927,3,65,"Bachelor degree","2015-12-25 13:11:56"
3928,4,65,English,"2015-12-25 13:11:56"
3929,5,65,No,"2015-12-25 13:11:56"
3930,6,65,High,"2015-12-25 13:11:56"
3931,7,65,Medium,"2015-12-25 13:11:56"
3932,8,65,"Not sure","2015-12-25 13:11:56"
3933,9,65,"Our television, DVR, and entire entertainment system are now voice activated and controlled, which I think is borderline. ","2015-12-25 13:11:56"
3934,1,66,Male,"2015-12-25 13:17:23"
3935,2,66,"25 to 34","2015-12-25 13:17:23"
3936,3,66,"Bachelor degree","2015-12-25 13:17:23"
3937,4,66,"computer information systems","2015-12-25 13:17:23"
3938,5,66,"Yes; for one to five years","2015-12-25 13:17:23"
3939,6,66,"Very high","2015-12-25 13:17:23"
3940,7,66,Medium,"2015-12-25 13:17:23"
3941,8,66,Yes,"2015-12-25 13:17:24"
3942,9,66,,"2015-12-25 13:17:24"
3943,1,68,Male,"2015-12-25 13:18:37"
3944,2,68,"25 to 34","2015-12-25 13:18:37"
3945,3,68,"High school degree or equivalent (e.g., GED)","2015-12-25 13:18:37"
3946,4,68,,"2015-12-25 13:18:37"
3947,5,68,No,"2015-12-25 13:18:37"
3948,6,68,High,"2015-12-25 13:18:37"
3949,7,68,High,"2015-12-25 13:18:37"
3950,8,68,Yes,"2015-12-25 13:18:37"
3951,9,68,,"2015-12-25 13:18:37"
3952,1,69,Male,"2015-12-25 13:18:45"
3953,2,69,"25 to 34","2015-12-25 13:18:45"
3954,3,69,"Bachelor degree","2015-12-25 13:18:45"
3955,4,69,"Political Science","2015-12-25 13:18:45"
3956,5,69,"Yes; for one to five years","2015-12-25 13:18:45"
3957,6,69,High,"2015-12-25 13:18:45"
3958,7,69,High,"2015-12-25 13:18:45"
3959,8,69,Yes,"2015-12-25 13:18:45"
3960,9,69,,"2015-12-25 13:18:45"
3961,1,72,Male,"2015-12-25 13:25:45"
3962,2,72,"25 to 34","2015-12-25 13:25:45"
3963,3,72,"Bachelor degree","2015-12-25 13:25:45"
3964,4,72,"Engineering Technology ","2015-12-25 13:25:46"
3965,5,72,No,"2015-12-25 13:25:46"
3966,6,72,High,"2015-12-25 13:25:46"
3967,7,72,High,"2015-12-25 13:25:46"
3968,8,72,Yes,"2015-12-25 13:25:46"
3969,9,72,"Smart Thermostat, remote surveillance viewable by phone app","2015-12-25 13:25:46"
3970,1,73,Male,"2015-12-25 13:30:49"
3971,2,73,"25 to 34","2015-12-25 13:30:49"
3972,3,73,"Bachelor degree","2015-12-25 13:30:49"
3973,4,73,English,"2015-12-25 13:30:49"
3974,5,73,No,"2015-12-25 13:30:49"
3975,6,73,Medium,"2015-12-25 13:30:49"
3976,7,73,Low,"2015-12-25 13:30:49"
3977,8,73,No,"2015-12-25 13:30:49"
3978,9,73,,"2015-12-25 13:30:49"
3979,1,74,Male,"2015-12-25 13:41:02"
3980,2,74,"18 to 24","2015-12-25 13:41:02"
3981,3,74,"High school degree or equivalent (e.g., GED)","2015-12-25 13:41:02"
3982,4,74,,"2015-12-25 13:41:02"
3983,5,74,"Yes; for one to five years","2015-12-25 13:41:02"
3984,6,74,High,"2015-12-25 13:41:02"
3985,7,74,High,"2015-12-25 13:41:02"
3986,8,74,Yes,"2015-12-25 13:41:02"
3987,9,74,,"2015-12-25 13:41:02"
3988,1,75,Male,"2015-12-25 14:00:48"
3989,2,75,"45 to 54","2015-12-25 14:00:48"
3990,3,75,"Graduate degree","2015-12-25 14:00:48"
3991,4,75,"Engineering (undergraduate); Business (graduate)","2015-12-25 14:00:48"
3992,5,75,"Yes; for more than five years","2015-12-25 14:00:48"
3993,6,75,High,"2015-12-25 14:00:48"
3994,7,75,Medium,"2015-12-25 14:00:48"
3995,8,75,Yes,"2015-12-25 14:00:48"
3996,9,75,"I don't need to clarify any of my answers.","2015-12-25 14:00:48"
3997,1,79,Male,"2015-12-25 15:07:42"
3998,2,79,"25 to 34","2015-12-25 15:07:42"
3999,3,79,"Bachelor degree","2015-12-25 15:07:42"
4000,4,79,"computer science","2015-12-25 15:07:42"
4001,5,79,"Yes; for less than a year","2015-12-25 15:07:42"
4002,6,79,Medium,"2015-12-25 15:07:43"
4003,7,79,High,"2015-12-25 15:07:43"
4004,8,79,Yes,"2015-12-25 15:07:43"
4005,9,79,no,"2015-12-25 15:07:43"
4006,1,82,Male,"2015-12-25 15:10:48"
4007,2,82,"25 to 34","2015-12-25 15:10:48"
4008,3,82,"High school degree or equivalent (e.g., GED)","2015-12-25 15:10:48"
4009,4,82,,"2015-12-25 15:10:48"
4010,5,82,No,"2015-12-25 15:10:48"
4011,6,82,Medium,"2015-12-25 15:10:48"
4012,7,82,Medium,"2015-12-25 15:10:48"
4013,8,82,Yes,"2015-12-25 15:10:48"
4014,9,82,,"2015-12-25 15:10:49"
4015,1,84,Female,"2015-12-25 15:16:34"
4016,2,84,"35 to 45","2015-12-25 15:16:34"
4017,3,84,"Bachelor degree","2015-12-25 15:16:34"
4018,4,84,Biology,"2015-12-25 15:16:34"
4019,5,84,No,"2015-12-25 15:16:34"
4020,6,84,Medium,"2015-12-25 15:16:34"
4021,7,84,High,"2015-12-25 15:16:34"
4022,8,84,No,"2015-12-25 15:16:34"
4023,9,84,,"2015-12-25 15:16:34"
4024,1,85,Female,"2015-12-25 15:21:04"
4025,2,85,"25 to 34","2015-12-25 15:21:04"
4026,3,85,"Bachelor degree","2015-12-25 15:21:04"
4027,4,85,"computer science ","2015-12-25 15:21:04"
4028,5,85,"Yes; for more than five years","2015-12-25 15:21:04"
4029,6,85,High,"2015-12-25 15:21:04"
4030,7,85,Medium,"2015-12-25 15:21:04"
4031,8,85,Yes,"2015-12-25 15:21:04"
4032,9,85,,"2015-12-25 15:21:04"
4033,1,87,Female,"2015-12-25 15:28:59"
4034,2,87,"35 to 45","2015-12-25 15:28:59"
4035,3,87,"Bachelor degree","2015-12-25 15:28:59"
4036,4,87,journalism,"2015-12-25 15:28:59"
4037,5,87,No,"2015-12-25 15:28:59"
4038,6,87,Low,"2015-12-25 15:28:59"
4039,7,87,Low,"2015-12-25 15:28:59"
4040,8,87,"Not sure","2015-12-25 15:28:59"
4041,9,87,,"2015-12-25 15:28:59"
4042,1,88,Male,"2015-12-25 15:31:16"
4043,2,88,"35 to 45","2015-12-25 15:31:16"
4044,3,88,"Graduate degree","2015-12-25 15:31:16"
4045,4,88,"forensic science","2015-12-25 15:31:16"
4046,5,88,No,"2015-12-25 15:31:16"
4047,6,88,Medium,"2015-12-25 15:31:16"
4048,7,88,High,"2015-12-25 15:31:16"
4049,8,88,Yes,"2015-12-25 15:31:16"
4050,9,88,,"2015-12-25 15:31:16"
4051,1,91,Female,"2015-12-25 16:04:49"
4052,2,91,"18 to 24","2015-12-25 16:04:49"
4053,3,91,"Bachelor degree","2015-12-25 16:04:49"
4054,4,91,"Business Administration ","2015-12-25 16:04:49"
4055,5,91,No,"2015-12-25 16:04:49"
4056,6,91,Medium,"2015-12-25 16:04:49"
4057,7,91,High,"2015-12-25 16:04:49"
4058,8,91,No,"2015-12-25 16:04:49"
4059,9,91,,"2015-12-25 16:04:49"
4060,1,92,Male,"2015-12-25 16:10:41"
4061,2,92,"25 to 34","2015-12-25 16:10:41"
4062,3,92,"Bachelor degree","2015-12-25 16:10:41"
4063,4,92,Maths,"2015-12-25 16:10:41"
4064,5,92,No,"2015-12-25 16:10:41"
4065,6,92,Medium,"2015-12-25 16:10:41"
4066,7,92,Medium,"2015-12-25 16:10:41"
4067,8,92,No,"2015-12-25 16:10:41"
4068,9,92,,"2015-12-25 16:10:41"
4069,1,93,Female,"2015-12-25 17:28:42"
4070,2,93,"25 to 34","2015-12-25 17:28:42"
4071,3,93,"Bachelor degree","2015-12-25 17:28:42"
4072,4,93,Sociology,"2015-12-25 17:28:42"
4073,5,93,No,"2015-12-25 17:28:42"
4074,6,93,Low,"2015-12-25 17:28:42"
4075,7,93,Medium,"2015-12-25 17:28:42"
4076,8,93,"Not sure","2015-12-25 17:28:42"
4077,9,93,,"2015-12-25 17:28:42"
4078,1,102,Male,"2015-12-26 05:22:06"
4079,2,102,"25 to 34","2015-12-26 05:22:06"
4080,3,102,"Some college but no degree","2015-12-26 05:22:06"
4081,4,102,"Web Design","2015-12-26 05:22:06"
4082,5,102,"Yes; for one to five years","2015-12-26 05:22:06"
4083,6,102,"Very high","2015-12-26 05:22:06"
4084,7,102,High,"2015-12-26 05:22:06"
4085,8,102,No,"2015-12-26 05:22:06"
4086,9,102,,"2015-12-26 05:22:06"
4087,1,106,Male,"2015-12-27 15:31:06"
4088,2,106,"18 to 24","2015-12-27 15:31:06"
4089,3,106,"Bachelor degree","2015-12-27 15:31:06"
4090,4,106,"Mechanical Engineering","2015-12-27 15:31:06"
4091,5,106,"Yes; for less than a year","2015-12-27 15:31:06"
4092,6,106,Medium,"2015-12-27 15:31:06"
4093,7,106,Medium,"2015-12-27 15:31:06"
4094,8,106,No,"2015-12-27 15:31:06"
4095,9,106,,"2015-12-27 15:31:06"
4096,1,108,Female,"2015-12-27 15:31:40"
4097,2,108,"35 to 45","2015-12-27 15:31:40"
4098,3,108,"Graduate degree","2015-12-27 15:31:40"
4099,4,108,marketing,"2015-12-27 15:31:40"
4100,5,108,No,"2015-12-27 15:31:40"
4101,6,108,Low,"2015-12-27 15:31:40"
4102,7,108,Medium,"2015-12-27 15:31:40"
4103,8,108,"Not sure","2015-12-27 15:31:40"
4104,9,108,,"2015-12-27 15:31:40"
4105,1,109,Female,"2015-12-27 15:31:56"
4106,2,109,"55 or older","2015-12-27 15:31:56"
4107,3,109,"Bachelor degree","2015-12-27 15:31:56"
4108,4,109,"Health and PE","2015-12-27 15:31:57"
4109,5,109,No,"2015-12-27 15:31:57"
4110,6,109,Medium,"2015-12-27 15:31:57"
4111,7,109,Low,"2015-12-27 15:31:57"
4112,8,109,No,"2015-12-27 15:31:57"
4113,9,109,,"2015-12-27 15:31:57"
4114,1,111,Female,"2015-12-27 15:33:07"
4115,2,111,"35 to 45","2015-12-27 15:33:07"
4116,3,111,"Some college but no degree","2015-12-27 15:33:07"
4117,4,111,business,"2015-12-27 15:33:07"
4118,5,111,No,"2015-12-27 15:33:07"
4119,6,111,"Very low","2015-12-27 15:33:07"
4120,7,111,"Very low","2015-12-27 15:33:07"
4121,8,111,No,"2015-12-27 15:33:07"
4122,9,111,,"2015-12-27 15:33:07"
4123,1,113,Male,"2015-12-27 15:33:49"
4124,2,113,"25 to 34","2015-12-27 15:33:49"
4125,3,113,"Bachelor degree","2015-12-27 15:33:49"
4126,4,113,"project management","2015-12-27 15:33:49"
4127,5,113,No,"2015-12-27 15:33:49"
4128,6,113,Medium,"2015-12-27 15:33:49"
4129,7,113,Medium,"2015-12-27 15:33:49"
4130,8,113,No,"2015-12-27 15:33:49"
4131,9,113,,"2015-12-27 15:33:49"
4132,1,114,Female,"2015-12-27 15:35:25"
4133,2,114,"25 to 34","2015-12-27 15:35:25"
4134,3,114,"Some college but no degree","2015-12-27 15:35:25"
4135,4,114,Education,"2015-12-27 15:35:25"
4136,5,114,No,"2015-12-27 15:35:25"
4137,6,114,Medium,"2015-12-27 15:35:25"
4138,7,114,Medium,"2015-12-27 15:35:25"
4139,8,114,No,"2015-12-27 15:35:25"
4140,9,114,,"2015-12-27 15:35:25"
4141,1,115,Female,"2015-12-27 15:34:56"
4142,2,115,"35 to 45","2015-12-27 15:34:56"
4143,3,115,"Graduate degree","2015-12-27 15:34:56"
4144,4,115,"English and education","2015-12-27 15:34:56"
4145,5,115,No,"2015-12-27 15:34:56"
4146,6,115,Low,"2015-12-27 15:34:56"
4147,7,115,Low,"2015-12-27 15:34:56"
4148,8,115,"Not sure","2015-12-27 15:34:56"
4149,9,115,,"2015-12-27 15:34:56"
4150,1,116,Male,"2015-12-27 15:34:13"
4151,2,116,"18 to 24","2015-12-27 15:34:13"
4152,3,116,"High school degree or equivalent (e.g., GED)","2015-12-27 15:34:13"
4153,4,116,,"2015-12-27 15:34:13"
4154,5,116,No,"2015-12-27 15:34:13"
4155,6,116,"Very high","2015-12-27 15:34:13"
4156,7,116,High,"2015-12-27 15:34:13"
4157,8,116,Yes,"2015-12-27 15:34:13"
